Location,Town,Sale Date,Sale Price,Inflated Land Cost,Land Area (SF),Land Area (Acres),Land Sale Price per Acre (no discounts),Site Notes,Land Area Discount,Developable Land,Land Sale Price (with discounts),Book & Page
Old Elmdate Road,Uxbridge,5/18/2016,437500,859045,,30.55,28119,Significant wetlands (25%),0.25,22.91,37492,55344/172
East Street Estates (Upton Hopkinton Border),Upton,8/5/2016,700000,1353556,,43.42,31174,Moderate wetlands (25%),0.25,32.57,41565,55761/192
Pleasant St / Grist Mill Rd (Milestone Dr),Grafton,10/14/2016,437000,839932,,19.99,42018,,,19.99,42018,56133/274
Spring Hill Drive,Uxbridge,2/26/2018,132000,237184,,23.24,10206,,,23.24,10206,58476/59
Turner Farm Rd,Uxbridge,4/18/2018,1600000,2810873,,16.79,167414,,,16.79,167414,58678/299
Governors Landing Subdivision (Milford St),Upton,2/28/2019,3100000,5318462,,87.63,60692,Minimal Wetlands,,87.63,60692,60095/134
Wheeler Road (Elmrock Dr) Subdivision,Grafton,6/7/2019,1400000,2335898,,14,166850,,,14,166850,60520/236
Applewood Lane Subdivision,Mendon,9/5/2019,700000,1155530,"1,640,750",37.67,30678,26.8 acres of open space; minimal wetlands,,37.67,30678,61005/134
29-A HARTFORD AVE WEST,Mendon,12/23/2019,335000,553004,,35.87,15417,Significant Wetlands (30%),0.3,25.11,22024,61644/89
166 Stone Hill Dr,Northbridge,1/2/2020,3000000,4909685,"1,713,879",39.35,124785,,,39.35,124785,61694/102
"Off Appaloosa Drive - ""Bull Meadow"" Subdivision",Grafton,5/4/2020,750000,1209495,,34.35,35211,Some Wetlands (10%),0.1,30.92,39123,62325/353
Muddy Brook Court Subdivision (off Daniel Rd),Mendon,5/28/2020,230000,370912,,30.74,12066,Significant Wetlands (20%),0.2,24.59,15083,62484/23
Wedgewood Farm - Armsby Road  - 93 Over 55 Condominiums,Sutton,5/28/2020,825000,1330445,,57.25,23239,Significant Wetlands (30%),0.3,40.08,33199,62480/0340
Eber Taft Subdivision,Uxbridge,9/1/2020,525000,808326,,51.38,15732,Negligible wetlands,,51.38,15732,63165/75
Pout's Ln Subdivision,Uxbridge,10/23/2020,1082000,1665922,,6.68,249389,,,6.68,249389,63575/13
Duval Rd Subdivision (Sutton Douglas Border),Sutton,2/22/2021,360000,538657,,1.1,489688,Negligible wetlands,,1.1,489688,64513/31
Duval Rd Subdivision (Sutton Douglas Border),Sutton,8/10/2021,20000,26764,,5.2,5147,Negligible wetlands,,5.2,5147,65809/101
57-81 Purgatory Road - Compass Rock,Sutton,10/8/2021,500000,654511,,89,7354,Open Space Subdivision (51.579 acres),,37.4,17500,66258/0313
HILL ST (next to 120 Hill St.),Northbridge,11/1/2021,1350000,1767179,"831,973",19.1,92525,,,19.1,92525,66422/0169
Benson Road Property,Northbridge,12/23/2021,125000,163628,,31.16,5251,Steep contours (15%),0.15,26.48,6178,66821/39
354 Douglas Street,Uxbridge,1/6/2022,400000,511244,,27.59,18530,,,27.59,18530,66902/139
"11 Wheeler Road - ""Stillwater Estates"" ",Grafton,3/17/2022,765000,920519,,7.4,124394,Some open space (25%),0.25,5.55,165859,67285/351
Cobbler's Creek Senior Housing Community (North Street and Westboro Rd),Upton,4/7/2022,4425000,5324569,,59.84,88980,Moderate wetlands (15%),0.15,50.86,104682,67401/359
Westboro - Institute Rd Subdivision,Grafton,5/18/2022,5100000,6136792,,32.9,186529,,,32.9,186529,67613/304
76 INMAN HILL ROAD,Mendon,6/10/2022,354000,419355,,33.64,12466,Some wetlands (10%),0.1,30.28,13851,67731/304
Castle Hill Rd (south of Whitinsville),Northbridge,7/22/2022,1711000,2026883,,7.85,258179,,,7.85,258179,67952/244
710 Hartford Ave West,Uxbridge,7/25/2022,1650000,1954621,,7.86,248680,Small wetlands and contours (10%),0.1,7.07,276311,67954/142
101 A-C Blackstone Street,Mendon,12/19/2022,599000,715498,,31.1,23006,Significant Wetlands (20%),0.2,24.88,28758,68626/293
Grace St Subdivision,Northbridge,1/20/2023,475000,555020,,6.78,81861,,,6.78,81861,68745/397
Elm St Extension Subdivision,Uxbridge,2/3/2023,500000,584232,"372,607",8.55,68300,,,8.55,68300,68799/57
355 Aldrich St,Uxbridge,2/29/2024,150000,175270,,20.36,8609,Significant wetlands (25%),0.25,15.27,11478,70237/163
220 MILLVILLE STREET,Mendon,3/4/2024,100000,112772,,3,37591,Significant Wetlands (50%),0.5,1.5,75181,70253/54
