Location,Town,Sale Date,Sale Price,Inflated Land Cost,Land Area (SF),Land Area (Acres),Land Sale Price per Acre (no discounts),Site Notes,Land Area Discount,Developable Land,Land Sale Price (with discounts),Book & Page
Old Elmdate Road,Uxbridge,5/18/2016,437500,859045.1455,,30.55,28119.31736,Significant wetlands (25%),25.00%,22.91,37492.42315,55344/172
East Street Estates (Upton Hopkinton Border),Upton,8/5/2016,700000,1353556.211,,43.42,31173.56543,Moderate wetlands (25%),25.00%,32.57,41564.75391,55761/192
Pleasant St / Grist Mill Rd (Milestone Dr),Grafton,10/14/2016,437000,839932.4677,,19.99,42017.6322,,,19.99,42017.6322,56133/274
Spring Hill Drive,Uxbridge,2/26/2018,132000,237184.1796,,23.24,10205.85971,,,23.24,10205.85971,58476/59
Turner Farm Rd,Uxbridge,4/18/2018,1600000,2810873.357,,16.79,167413.5412,,,16.79,167413.5412,58678/299
Governors Landing Subdivision (Milford St),Upton,2/28/2019,3100000,5318462.05,,87.63,60692.25208,Minimal Wetlands,,87.63,60692.25208,60095/134
Wheeler Road (Elmrock Dr) Subdivision,Grafton,6/7/2019,1400000,2335897.539,,14.00,166849.8242,,,14.00,166849.8242,60520/236
Applewood Lane Subdivision,Mendon,9/5/2019,700000,1155530.239,"1,640,750",37.67,30677.98094,26.8 acres of open space; minimal wetlands,,37.67,30677.98094,61005/134
29-A HARTFORD AVE WEST,Mendon,12/23/2019,335000,553003.7574,,35.87,15416.88758,Significant Wetlands (30%),30.00%,25.11,22024.12511,61644/89
166 Stone Hill Dr,Northbridge,1/2/2020,3000000,4909685.345,"1,713,879",39.35,124784.7098,,,39.35,124784.7098,61694/102
"Off Appaloosa Drive - ""Bull Meadow"" Subdivision",Grafton,5/4/2020,750000,1209495.08,,34.35,35210.91935,Some Wetlands (10%),10.00%,30.92,39123.24372,62325/353
Muddy Brook Court Subdivision (off Daniel Rd),Mendon,5/28/2020,230000,370911.8244,,30.74,12066.09709,Significant Wetlands (20%),20.00%,24.59,15082.62136,62484/23
Wedgewood Farm - Armsby Road  - 93 Over 55 Condominiums,Sutton,5/28/2020,825000,1330444.588,,57.25,23239.20677,Significant Wetlands (30%),30.00%,40.08,33198.86682,62480/0340
Eber Taft Subdivision,Uxbridge,9/1/2020,525000,808326.1875,,51.38,15732.31194,Negligible wetlands,,51.38,15732.31194,63165/75
Pout's Ln Subdivision,Uxbridge,10/23/2020,1082000,1665921.781,,6.68,249389.4881,,,6.68,249389.4881,63575/13
Duval Rd Subdivision (Sutton Douglas Border),Douglas,11/2/2020,300000,461900.6785,,110.20,4191.476212,Negligible wetlands,,110.20,4191.476212,63651/174
Duval Rd Subdivision (Sutton Douglas Border),Douglas,2/22/2021,360000,538656.5217,,1.10,489687.747,Negligible wetlands,,1.10,489687.747,64513/31
Duval Rd Subdivision (Sutton Douglas Border),Sutton,8/10/2021,20000,26764.09592,,5.20,5146.941523,Negligible wetlands,,5.20,5146.941523,65809/101
57-81 Purgatory Road - Compass Rock,Sutton,10/8/2021,500000,654510.587,,89.00,7354.05154,Open Space Subdivision (51.579 acres),,37.40,17500.28308,66258/0313
HILL ST (next to 120 Hill St.),Northbridge,11/1/2021,1350000,1767178.585,"831,973",19.10,92524.9968,,,19.10,92524.9968,66422/0169
Benson Road Property,Northbridge,12/23/2021,125000,163627.6468,,31.16,5251.494682,Steep contours (15%),15.00%,26.48,6178.229038,66821/39
354 Douglas Street,Uxbridge,1/6/2022,400000,511243.8488,,27.59,18530.04164,,,27.59,18530.04164,66902/139
"11 Wheeler Road - ""Stillwater Estates"" ",Grafton,3/17/2022,765000,920518.7937,,7.40,124394.4316,Some open space (25%),25.00%,5.55,165859.2421,67285/351
Cobbler's Creek Senior Housing Community (North Street and Westboro Rd),Upton,4/7/2022,4425000,5324569.493,,59.84,88980.10516,Moderate wetlands (15%),15.00%,50.86,104682.4767,67401/359
Westboro - Institute Rd Subdivision,Grafton,5/18/2022,5100000,6136791.958,,32.90,186528.6309,,,32.90,186528.6309,67613/304
76 INMAN HILL ROAD,Mendon,6/10/2022,354000,419355.096,,33.64,12465.96939,Some wetlands (10%),10.00%,30.28,13851.0771,67731/304
Castle Hill Rd (south of Whitinsville),Northbridge,7/22/2022,1711000,2026882.964,,7.85,258178.6291,,,7.85,258178.6291,67952/244
710 Hartford Ave West,Uxbridge,7/25/2022,1650000,1954621.21,,7.86,248679.5433,Small wetlands and contours (10%),10.00%,7.07,276310.6036,67954/142
101 A-C Blackstone Street,Mendon,12/19/2022,599000,715497.7294,,31.10,23006.35786,Significant Wetlands (20%),20.00%,24.88,28757.94732,68626/293
Grace St Subdivision,Northbridge,1/20/2023,475000,555020.0888,,6.78,81861.37004,,,6.78,81861.37004,68745/397
Elm St Extension Subdivision,Uxbridge,2/3/2023,500000,584231.6725,"372,607",8.55,68300.1974,,,8.55,68300.1974,68799/57
355 Aldrich St,Uxbridge,2/29/2024,150000,175269.5017,,20.36,8608.521696,Significant wetlands (25%),25.00%,15.27,11478.02893,70237/163
220 MILLVILLE STREET,Mendon,3/4/2024,100000,112771.7094,,3.00,37590.56982,Significant Wetlands (50%),50.00%,1.50,75181.13963,70253/54
